vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,9,2022-08-19 00:00:00,2022
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,10,2017-03-16 00:00:00,2017
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,15,2019-09-11 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,14,2013-12-04 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2019-10-23 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,21,2012-10-04 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2019-11-14 00:00:00,2019
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2012-07-12 00:00:00,2012
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,15,2012-10-16 00:00:00,2012
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,14,2018-10-30 00:00:00,2018
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,21,2016-07-06 00:00:00,2016
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,6,2023-10-11 00:00:00,2023
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2012-11-03 00:00:00,2012
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,21,2018-10-27 00:00:00,2018
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,20,2012-07-12 00:00:00,2012
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2013-10-31 00:00:00,2013
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,7,2013-12-03 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,14,2012-08-16 00:00:00,2012
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,15,2016-09-08 00:00:00,2016
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,21,2013-09-25 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,15,2013-10-23 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,8,2012-10-31 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Childhood,Desaparicion forzada,21,2014-11-05 00:00:00,2014
7,70650,Femenino,Negro,Older adults,Perdida de Bienes Muebles o Inmuebles,14,2021-02-19 00:00:00,2021
7,70650,Masculino,Indigena,Adulthood,Desplazamiento forzado,15,2014-07-07 00:00:00,2014
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,15,2019-07-18 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,16,2015-06-30 00:00:00,2015
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2012-08-22 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,11,2016-11-23 00:00:00,2016
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,8,2013-11-15 00:00:00,2013
8,70650,Femenino,Palenquero,Youth,Desplazamiento forzado,13,2012-06-22 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,6,2013-06-25 00:00:00,2013
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,16,2021-08-06 00:00:00,2021
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,7,2021-09-15 00:00:00,2021
8,70650,Femenino,Indigena,Youth,Desplazamiento forzado,2,2015-06-09 00:00:00,2015
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,8,2021-08-03 00:00:00,2021
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,6,2017-10-17 00:00:00,2017
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,14,2019-05-08 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2013-11-13 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,18,2013-03-18 00:00:00,2013
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2020-09-05 00:00:00,2020
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2020-11-09 00:00:00,2020
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,13,2021-09-15 00:00:00,2021
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,13,2019-08-28 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,14,2017-09-11 00:00:00,2017
5,70650,Masculino,Otro,Youth,Desaparicion forzada,12,2018-03-23 00:00:00,2018
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,21,2015-09-20 00:00:00,2015
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2017-07-19 00:00:00,2017
8,70650,Masculino,Afrocolombiano,Older adults,Desplazamiento forzado,14,2015-04-17 00:00:00,2015
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,11,2013-12-11 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,16,2017-05-07 00:00:00,2017
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2020-12-01 00:00:00,2020
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,2,2020-10-21 00:00:00,2020
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2014-09-09 00:00:00,2014
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,18,2023-05-23 00:00:00,2023
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,1,2013-05-08 00:00:00,2013
7,70650,Masculino,Indigena,Adulthood,Desplazamiento forzado,15,2018-10-30 00:00:00,2018
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2016-10-06 00:00:00,2016
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,21,2019-08-30 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,16,2017-04-12 00:00:00,2017
9,70650,Femenino,Afrocolombiano,Older adults,Desplazamiento forzado,16,2018-11-13 00:00:00,2018
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,1,2018-10-18 00:00:00,2018
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,14,2012-09-14 00:00:00,2012
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,8,2021-09-11 00:00:00,2021
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,21,2013-11-07 00:00:00,2013
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,1,2013-11-16 00:00:00,2013
7,70650,Masculino,Negro,Childhood,Desplazamiento forzado,21,2013-11-11 00:00:00,2013
6,70650,Masculino,Moreno,Adulthood,Desplazamiento forzado,21,2013-08-05 00:00:00,2013
6,70650,Masculino,Otro,Adulthood,Desplazamiento forzado,6,2020-03-17 00:00:00,2020
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,10,2016-10-12 00:00:00,2016
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,12,2016-11-22 00:00:00,2016
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,13,2016-05-31 00:00:00,2016
5,70650,Masculino,Mestizo,Youth,Amenaza,13,2019-10-11 00:00:00,2019
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,8,2023-10-20 00:00:00,2023
8,70650,Femenino,Negro,Older adults,Desplazamiento forzado,21,2012-12-06 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,21,2022-06-07 00:00:00,2022
8,70650,Masculino,Indigena,Childhood,Desplazamiento forzado,18,2021-12-09 00:00:00,2021
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2017-06-26 00:00:00,2017
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,9,2012-09-15 00:00:00,2012
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2012-10-10 00:00:00,2012
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,16,2022-11-03 00:00:00,2022
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,16,2015-07-15 00:00:00,2015
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,13,2012-09-18 00:00:00,2012
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2020-12-09 00:00:00,2020
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,16,2012-06-15 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,9,2014-07-23 00:00:00,2014
7,70650,Masculino,Moreno,Childhood,Desplazamiento forzado,13,2012-10-27 00:00:00,2012
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,13,2013-06-25 00:00:00,2013
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,2,2020-11-20 00:00:00,2020
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,13,2013-07-22 00:00:00,2013
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,15,2015-03-18 00:00:00,2015
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,16,2016-09-02 00:00:00,2016
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,16,2015-06-16 00:00:00,2015
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,18,2022-11-30 00:00:00,2022
8,70650,Masculino,Indigena,Older adults,Desplazamiento forzado,14,2012-06-19 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2023-04-01 00:00:00,2023
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2023-09-20 00:00:00,2023
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,13,2013-09-06 00:00:00,2013
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2015-06-10 00:00:00,2015
7,70650,Masculino,Otro,Older adults,Desplazamiento forzado,9,2020-10-28 00:00:00,2020
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,15,2012-12-06 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2022-11-21 00:00:00,2022
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,15,2014-07-02 00:00:00,2014
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,16,2013-07-03 00:00:00,2013
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,21,2013-10-16 00:00:00,2013
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,14,2015-04-22 00:00:00,2015
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,6,2016-08-18 00:00:00,2016
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,13,2013-10-03 00:00:00,2013
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,14,2012-07-27 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,7,2020-12-04 00:00:00,2020
7,70650,Femenino,Otro,Older adults,Desaparicion forzada,8,2017-10-18 00:00:00,2017
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2014-08-20 00:00:00,2014
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,21,2017-06-29 00:00:00,2017
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,12,2012-07-13 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,11,2022-07-24 00:00:00,2022
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,21,2018-10-29 00:00:00,2018
6,70650,Masculino,Afrocolombiano,Youth,Eventos masivos,16,2020-12-01 00:00:00,2020
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,13,2020-11-09 00:00:00,2020
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,15,2017-06-07 00:00:00,2017
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2022-08-18 00:00:00,2022
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,7,2020-12-09 00:00:00,2020
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,21,2019-03-15 00:00:00,2019
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,14,2018-10-26 00:00:00,2018
6,70650,Masculino,Moreno,Youth,Desplazamiento forzado,21,2013-12-13 00:00:00,2013
8,70650,Femenino,Moreno,Childhood,Desplazamiento forzado,14,2014-07-03 00:00:00,2014
6,70650,Masculino,Otro,Adulthood,Desplazamiento forzado,1,2017-06-28 00:00:00,2017
8,70650,Masculino,Afrodescendiente,Older adults,Desplazamiento forzado,13,2018-11-16 00:00:00,2018
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2015-10-29 00:00:00,2015
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,9,2014-07-22 00:00:00,2014
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,14,2019-12-04 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,14,2013-07-18 00:00:00,2013
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2012-10-24 00:00:00,2012
8,70650,Femenino,Mestizo,Older adults,Desplazamiento forzado,15,2017-06-29 00:00:00,2017
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,18,2013-11-21 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,13,2022-09-06 00:00:00,2022
8,70650,Femenino,Mestizo,Older adults,Desplazamiento forzado,18,2012-09-19 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2021-09-03 00:00:00,2021
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,8,2018-11-06 00:00:00,2018
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,20,2012-12-06 00:00:00,2012
8,70650,Femenino,Negro,Older adults,Desplazamiento forzado,13,2013-10-03 00:00:00,2013
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,21,2023-07-06 00:00:00,2023
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2013-08-27 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2022-10-21 00:00:00,2022
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2015-07-25 00:00:00,2015
6,70650,Masculino,Afrocolombiano,Adulthood,Amenaza,18,2020-08-20 00:00:00,2020
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2020-09-21 00:00:00,2020
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,13,2013-07-16 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,18,2015-05-24 00:00:00,2015
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,21,2012-09-18 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2014-09-26 00:00:00,2014
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,21,2019-02-19 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,21,2018-11-17 00:00:00,2018
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,15,2014-05-20 00:00:00,2014
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,15,2021-11-08 00:00:00,2021
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,13,2019-10-17 00:00:00,2019
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,13,2012-12-11 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,8,2016-11-02 00:00:00,2016
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,15,2016-07-14 00:00:00,2016
8,70650,Femenino,Mestizo,Older adults,Desplazamiento forzado,18,2022-12-01 00:00:00,2022
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,15,2021-09-07 00:00:00,2021
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,18,2015-07-28 00:00:00,2015
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,6,2013-02-04 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Childhood,Desaparicion forzada,14,2018-04-17 00:00:00,2018
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,15,2012-07-24 00:00:00,2012
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,6,2017-08-01 00:00:00,2017
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,12,2023-10-11 00:00:00,2023
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,18,2019-04-18 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,1,2020-09-25 00:00:00,2020
7,70650,Masculino,Afrodescendiente,Childhood,Perdida de Bienes Muebles o Inmuebles,15,2023-05-29 00:00:00,2023
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,14,2012-11-20 00:00:00,2012
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,1,2013-06-24 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,21,2019-02-22 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2013-11-22 00:00:00,2013
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,18,2018-10-05 00:00:00,2018
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,13,2019-10-19 00:00:00,2019
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,15,2022-11-21 00:00:00,2022
7,70650,Masculino,Indigena,Youth,Desplazamiento forzado,1,2019-10-14 00:00:00,2019
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,10,2023-10-11 00:00:00,2023
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,10,2013-11-08 00:00:00,2013
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,14,2012-11-25 00:00:00,2012
8,70650,Femenino,Otro,Childhood,Desplazamiento forzado,21,2013-08-12 00:00:00,2013
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,21,2018-10-26 00:00:00,2018
6,70650,Masculino,Mestizo,Adulthood,Homicidio,9,2013-10-04 00:00:00,2013
7,70650,Masculino,Afrocolombiano,Childhood,Amenaza,15,2018-07-04 00:00:00,2018
6,70650,Masculino,Afrocolombiano,Youth,Desaparicion forzada,15,2021-03-12 00:00:00,2021
7,70650,Femenino,Afrodescendiente,Adulthood,Desaparicion forzada,18,2018-04-27 00:00:00,2018
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,16,2017-07-18 00:00:00,2017
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2017-09-19 00:00:00,2017
7,70650,Femenino,Moreno,Youth,Desplazamiento forzado,14,2018-11-15 00:00:00,2018
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2019-07-26 00:00:00,2019
7,70650,Masculino,Negro,Childhood,Desplazamiento forzado,14,2015-10-15 00:00:00,2015
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,14,2018-10-27 00:00:00,2018
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2017-08-24 00:00:00,2017
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,12,2012-07-13 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,11,2021-11-09 00:00:00,2021
7,70650,Masculino,Indigena,Adulthood,Desplazamiento forzado,13,2012-07-06 00:00:00,2012
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,14,2013-07-05 00:00:00,2013
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,18,2021-11-25 00:00:00,2021
8,70650,Femenino,Otro,Childhood,Desplazamiento forzado,15,2012-10-11 00:00:00,2012
7,70650,Masculino,Moreno,Childhood,Desplazamiento forzado,14,2012-10-15 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,13,2013-07-12 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Childhood,Desaparicion forzada,13,2018-04-05 00:00:00,2018
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,13,2012-08-08 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,21,2012-09-13 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2017-06-23 00:00:00,2017
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,21,2014-06-10 00:00:00,2014
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,16,2015-05-27 00:00:00,2015
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,9,2013-07-31 00:00:00,2013
6,70650,Masculino,Negro,Youth,Desplazamiento forzado,14,2013-11-27 00:00:00,2013
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,18,2019-07-08 00:00:00,2019
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,21,2023-03-29 00:00:00,2023
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,18,2012-06-06 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,15,2018-10-27 00:00:00,2018
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,12,2014-06-17 00:00:00,2014
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,11,2015-11-05 00:00:00,2015
7,70650,Masculino,Negro,Childhood,Desplazamiento forzado,21,2013-11-18 00:00:00,2013
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,11,2013-05-31 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,14,2018-10-28 00:00:00,2018
6,70650,Masculino,Moreno,Adulthood,Desplazamiento forzado,21,2020-10-26 00:00:00,2020
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2018-11-13 00:00:00,2018
9,70650,Femenino,Afrocolombiano,Older adults,Desplazamiento forzado,14,2019-12-10 00:00:00,2019
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2017-09-18 00:00:00,2017
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,21,2016-07-12 00:00:00,2016
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,15,2022-07-09 00:00:00,2022
8,70650,Masculino,Afrocolombiano,Older adults,Desplazamiento forzado,12,2019-08-30 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,21,2022-08-24 00:00:00,2022
8,70650,Femenino,Negro,Childhood,Homicidio,20,2017-12-05 00:00:00,2017
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,16,2019-04-24 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2015-02-25 00:00:00,2015
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2015-04-08 00:00:00,2015
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,14,2019-07-18 00:00:00,2019
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2013-02-12 00:00:00,2013
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,13,2012-06-14 00:00:00,2012
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,18,2020-08-28 00:00:00,2020
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,5,2020-12-01 00:00:00,2020
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,14,2014-06-03 00:00:00,2014
6,70650,Masculino,Mestizo,Youth,Homicidio,18,2023-06-06 00:00:00,2023
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,9,2014-09-15 00:00:00,2014
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,7,2016-08-10 00:00:00,2016
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,3,2020-09-12 00:00:00,2020
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,21,2018-10-26 00:00:00,2018
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,16,2017-03-15 00:00:00,2017
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2012-11-21 00:00:00,2012
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,15,2014-07-17 00:00:00,2014
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,4,2015-11-28 00:00:00,2015
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,15,2023-09-20 00:00:00,2023
8,70650,Femenino,Afrocolombiano,Childhood,Desaparicion forzada,15,2013-10-22 00:00:00,2013
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,15,2014-05-21 00:00:00,2014
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,5,2021-11-06 00:00:00,2021
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,14,2015-03-26 00:00:00,2015
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,21,2021-12-19 00:00:00,2021
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,7,2016-08-28 00:00:00,2016
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,18,2020-03-16 00:00:00,2020
6,70650,Masculino,Negro,Childhood,Desaparicion forzada,15,2018-03-06 00:00:00,2018
7,70650,Femenino,Moreno,Youth,Desplazamiento forzado,15,2015-07-29 00:00:00,2015
6,70650,Masculino,Otro,Childhood,Amenaza,21,2018-11-16 00:00:00,2018
9,70650,Femenino,Indigena,Childhood,Desplazamiento forzado,2,2017-05-27 00:00:00,2017
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,18,2015-03-07 00:00:00,2015
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,1,2012-10-17 00:00:00,2012
8,70650,Femenino,Negro,Older adults,Desplazamiento forzado,14,2019-11-12 00:00:00,2019
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,13,2019-11-22 00:00:00,2019
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,15,2012-10-16 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,14,2013-07-19 00:00:00,2013
5,70650,Masculino,Otro,Adulthood,Acto terrorista/Atentados/Combates/Enfrentamientos/Hostigamientos,14,2021-06-01 00:00:00,2021
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,14,2022-08-26 00:00:00,2022
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,15,2022-06-08 00:00:00,2022
6,70650,Masculino,Moreno,Adulthood,Desplazamiento forzado,8,2023-11-01 00:00:00,2023
6,70650,Masculino,Afrodescendiente,Youth,Desaparicion forzada,13,2018-04-17 00:00:00,2018
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,21,2013-09-26 00:00:00,2013
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,21,2012-11-28 00:00:00,2012
7,70650,Masculino,Indigena,Youth,Desplazamiento forzado,16,2014-05-14 00:00:00,2014
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,15,2012-12-04 00:00:00,2012
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,1,2021-10-12 00:00:00,2021
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,16,2017-04-24 00:00:00,2017
