vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,1,2012-08-04 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,21,2012-10-23 00:00:00,2012
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,5,2019-11-19 00:00:00,2019
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,7,2014-10-16 00:00:00,2014
9,70650,Femenino,Afrodescendiente,Older adults,Desplazamiento forzado,15,2015-04-15 00:00:00,2015
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,6,2023-05-30 00:00:00,2023
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,15,2012-12-04 00:00:00,2012
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,15,2021-07-11 00:00:00,2021
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2019-08-08 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2020-05-29 00:00:00,2020
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,13,2013-11-08 00:00:00,2013
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,6,2017-06-16 00:00:00,2017
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,14,2013-08-28 00:00:00,2013
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,16,2014-07-02 00:00:00,2014
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,21,2013-11-07 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,16,2018-10-31 00:00:00,2018
7,70650,Femenino,Negro,Childhood,Amenaza,15,2018-10-29 00:00:00,2018
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,8,2021-03-12 00:00:00,2021
6,70650,Masculino,Moreno,Youth,Desplazamiento forzado,15,2012-09-28 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,1,2019-10-22 00:00:00,2019
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,15,2012-08-08 00:00:00,2012
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2019-02-24 00:00:00,2019
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,18,2018-10-22 00:00:00,2018
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,6,2019-07-10 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2022-06-03 00:00:00,2022
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,14,2020-11-05 00:00:00,2020
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,13,2020-10-27 00:00:00,2020
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,16,2022-09-13 00:00:00,2022
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,15,2012-12-06 00:00:00,2012
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2017-10-23 00:00:00,2017
